X:	U:	P:	RO:	E:	Q:
0.001	7.23438e-15	7.59375	12.6562	0.9	1.39058e-15
0.002	7.1245e-15	7.59375	12.6562	0.9	1.30275e-15
0.003	7.02157e-15	7.59375	12.6562	0.9	1.28328e-15
0.004	6.92017e-15	7.59375	12.6562	0.9	1.29205e-15
0.005	6.81809e-15	7.59375	12.6562	0.9	1.29928e-15
0.006	6.71543e-15	7.59375	12.6562	0.9	1.30068e-15
0.007	6.61266e-15	7.59375	12.6562	0.9	1.30116e-15
0.008	6.50985e-15	7.59375	12.6562	0.9	1.30027e-15
0.009	6.40711e-15	7.59375	12.6562	0.9	1.29793e-15
0.01	6.30456e-15	7.59375	12.6562	0.9	1.29571e-15
0.011	6.20218e-15	7.59375	12.6562	0.9	1.29479e-15
0.012	6.09988e-15	7.59375	12.6562	0.9	1.29518e-15
0.013	5.99754e-15	7.59375	12.6562	0.9	1.29612e-15
0.014	5.89513e-15	7.59375	12.6562	0.9	1.29691e-15
0.015	5.79266e-15	7.59375	12.6562	0.9	1.29722e-15
0.016	5.69017e-15	7.59375	12.6562	0.9	1.2971e-15
0.017	5.58768e-15	7.59375	12.6562	0.9	1.29678e-15
0.018	5.48522e-15	7.59375	12.6562	0.9	1.29648e-15
0.019	5.38278e-15	7.59375	12.6562	0.9	1.29626e-15
0.02	5.28036e-15	7.59375	12.6562	0.9	1.2961e-15
0.021	5.17795e-15	7.59375	12.6562	0.9	1.29591e-15
0.022	5.07556e-15	7.59375	12.6562	0.9	1.29567e-15
0.023	4.97318e-15	7.59375	12.6562	0.9	1.29537e-15
0.024	4.87083e-15	7.59375	12.6562	0.9	1.29509e-15
0.025	4.76851e-15	7.59375	12.6562	0.9	1.29489e-15
0.026	4.66619e-15	7.59375	12.6562	0.9	1.29482e-15
0.027	4.56389e-15	7.59375	12.6562	0.9	1.29487e-15
0.028	4.46158e-15	7.59375	12.6562	0.9	1.29501e-15
0.029	4.35925e-15	7.59375	12.6562	0.9	1.29516e-15
0.03	4.25692e-15	7.59375	12.6562	0.9	1.29526e-15
0.031	4.15458e-15	7.59375	12.6562	0.9	1.29525e-15
0.032	4.05224e-15	7.59375	12.6562	0.9	1.29513e-15
0.033	3.94991e-15	7.59375	12.6562	0.9	1.2949e-15
0.034	3.84759e-15	7.59375	12.6562	0.9	1.29459e-15
0.035	3.74531e-15	7.59375	12.6562	0.9	1.29426e-15
0.036	3.64304e-15	7.59375	12.6562	0.9	1.29397e-15
0.037	3.5408e-15	7.59375	12.6562	0.9	1.29375e-15
0.038	3.43858e-15	7.59375	12.6562	0.9	1.29362e-15
0.039	3.33637e-15	7.59375	12.6562	0.9	1.29361e-15
0.04	3.23416e-15	7.59375	12.6562	0.9	1.29368e-15
0.041	3.13194e-15	7.59375	12.6562	0.9	1.29383e-15
0.042	3.02971e-15	7.59375	12.6562	0.9	1.29401e-15
0.043	2.92747e-15	7.59375	12.6562	0.9	1.2942e-15
0.044	2.82521e-15	7.59375	12.6562	0.9	1.29437e-15
0.045	2.72294e-15	7.59375	12.6562	0.9	1.29449e-15
0.046	2.62066e-15	7.59375	12.6562	0.9	1.29455e-15
0.047	2.51838e-15	7.59375	12.6562	0.9	1.29455e-15
0.048	2.41609e-15	7.59375	12.6562	0.9	1.29451e-15
0.049	2.31381e-15	7.59375	12.6562	0.9	1.29444e-15
0.05	2.21153e-15	7.59375	12.6562	0.9	1.29437e-15
0.051	2.10926e-15	7.59375	12.6562	0.9	1.2943e-15
0.052	2.00699e-15	7.59375	12.6562	0.9	1.29427e-15
0.053	1.90473e-15	7.59375	12.6562	0.9	1.29428e-15
0.054	1.80247e-15	7.59375	12.6562	0.9	1.29435e-15
0.055	1.7002e-15	7.59375	12.6562	0.9	1.29446e-15
0.056	1.59792e-15	7.59375	12.6562	0.9	1.29461e-15
0.057	1.49563e-15	7.59375	12.6562	0.9	1.2948e-15
0.058	1.39332e-15	7.59375	12.6562	0.9	1.295e-15
0.059	1.291e-15	7.59375	12.6562	0.9	1.29521e-15
0.06	1.18866e-15	7.59375	12.6562	0.9	1.2954e-15
0.061	1.08631e-15	7.59375	12.6562	0.9	1.29556e-15
0.062	9.83945e-16	7.59375	12.6562	0.9	1.29567e-15
0.063	8.81571e-16	7.59375	12.6562	0.9	1.29267e-15
0.064	7.79434e-16	7.59375	12.6562	0.9	1.23824e-15
0.065	6.81598e-16	7.59375	12.6562	0.9	7.53463e-16
0.066	6.22065e-16	7.59375	12.6562	0.9	4.38814e-16
0.067	5.87394e-16	7.59375	12.6562	0.9	4.08509e-16
0.068	5.55117e-16	7.59375	12.6562	0.9	4.10975e-16
0.069	5.22644e-16	7.59375	12.6562	0.9	4.09559e-16
0.07	4.90284e-16	7.59375	12.6562	0.9	4.11045e-16
0.071	4.57807e-16	7.59375	12.6562	0.9	5.66451e-16
0.072	4.1305e-16	7.59375	12.6562	0.9	5.39574e-16
0.073	3.70417e-16	7.59375	12.6562	0.9	5.36806e-16
0.074	3.28003e-16	7.59375	12.6562	0.9	5.36036e-16
0.075	2.85649e-16	7.59375	12.6562	0.9	3.82794e-16
0.076	2.55404e-16	7.59375	12.6562	0.9	5.63555e-16
0.077	2.10876e-16	7.59375	12.6562	0.9	3.82485e-16
0.078	1.80655e-16	7.59375	12.6562	0.9	4.07542e-16
0.079	1.48454e-16	7.59375	12.6562	0.9	4.05731e-16
0.08	1.16396e-16	7.59375	12.6562	0.9	4.09584e-16
0.081	8.40341e-17	7.59375	12.6562	0.9	4.06417e-16
0.082	5.19222e-17	7.59375	12.6562	0.9	4.06129e-16
0.083	1.9833e-17	7.59375	12.6562	0.9	4.09482e-16
0.084	-1.25212e-17	7.59375	12.6562	0.9	4.0997e-16
0.085	-4.49139e-17	7.59375	12.6562	0.9	4.09166e-16
0.086	-7.72431e-17	7.59375	12.6562	0.9	5.6799e-16
0.087	-1.22121e-16	7.59375	12.6562	0.9	5.45366e-16
0.088	-1.65212e-16	7.59375	12.6562	0.9	5.43966e-16
0.089	-2.08192e-16	7.59375	12.6562	0.9	5.44208e-16
0.09	-2.51191e-16	7.59375	12.6562	0.9	3.91337e-16
0.091	-2.82112e-16	7.59375	12.6562	0.9	4.13343e-16
0.092	-3.14771e-16	7.59375	12.6562	0.9	4.12154e-16
0.093	-3.47336e-16	7.59375	12.6562	0.9	4.14384e-16
0.094	-3.80078e-16	7.59375	12.6562	0.9	4.0866e-16
0.095	-4.12367e-16	7.59375	12.6562	0.9	4.15945e-16
0.096	-4.45231e-16	7.59375	12.6562	0.9	0
0.097	-3.00067e-16	7.59375	12.6563	0.9	0
0.098	0	7.59375	12.6563	0.9	0
0.099	0	7.59375	12.6563	0.9	0
0.1	0	7.59375	12.6563	0.9	0
0.101	0	7.59375	12.6563	0.9	0
0.102	0	7.59375	12.6563	0.9	0
0.103	0	7.59375	12.6563	0.9	0
0.104	0	7.59375	12.6563	0.9	0
0.105	0	7.59375	12.6563	0.9	0
0.106	0	7.59375	12.6563	0.9	0
0.107	0	7.59375	12.6563	0.9	0
0.108	0	7.59375	12.6563	0.9	0
0.109	0	7.59375	12.6563	0.9	0
0.11	0	7.59375	12.6563	0.9	0
0.111	0	7.59375	12.6563	0.9	0
0.112	0	7.59375	12.6563	0.9	0
0.113	0	7.59375	12.6563	0.9	0
0.114	0	7.59375	12.6563	0.9	0
0.115	0	7.59375	12.6563	0.9	0
0.116	0	7.59375	12.6563	0.9	0
0.117	0	7.59375	12.6563	0.9	0
0.118	0	7.59375	12.6563	0.9	0
0.119	0	7.59375	12.6563	0.9	0
0.12	0	7.59375	12.6563	0.9	0
0.121	0	7.59375	12.6563	0.9	0
0.122	0	7.59375	12.6563	0.9	0
0.123	0	7.59375	12.6563	0.9	0
0.124	0	7.59375	12.6563	0.9	0
0.125	0	7.59375	12.6563	0.9	0
0.126	0	7.59375	12.6563	0.9	0
0.127	0	7.59375	12.6563	0.9	0
0.128	0	7.59375	12.6563	0.9	0
0.129	0	7.59375	12.6563	0.9	0
0.13	0	7.59375	12.6563	0.9	0
0.131	0	7.59375	12.6563	0.9	0
0.132	0	7.59375	12.6563	0.9	0
0.133	0	7.59375	12.6563	0.9	0
0.134	0	7.59375	12.6563	0.9	0
0.135	0	7.59375	12.6563	0.9	0
0.136	0	7.59375	12.6563	0.9	0
0.137	0	7.59375	12.6563	0.9	0
0.138	0	7.59375	12.6563	0.9	0
0.139	0	7.59375	12.6563	0.9	0
0.14	0	7.59375	12.6563	0.9	0
0.141	0	7.59375	12.6563	0.9	0
0.142	0	7.59375	12.6563	0.9	0
0.143	0	7.59375	12.6563	0.9	0
0.144	0	7.59375	12.6563	0.9	0
0.145	0	7.59375	12.6563	0.9	0
0.146	0	7.59375	12.6563	0.9	0
0.147	0	7.59375	12.6563	0.9	0
0.148	0	7.59375	12.6563	0.9	0
0.149	0	7.59375	12.6563	0.9	0
0.15	0	7.59375	12.6563	0.9	0
0.151	0	7.59375	12.6563	0.9	0
0.152	0	7.59375	12.6563	0.9	0
0.153	0	7.59375	12.6563	0.9	0
0.154	0	7.59375	12.6563	0.9	0
0.155	0	7.59375	12.6563	0.9	0
0.156	0	7.59375	12.6563	0.9	0
0.157	0	7.59375	12.6563	0.9	0
0.158	0	7.59375	12.6563	0.9	0
0.159	0	7.59375	12.6563	0.9	0
0.16	0	7.59375	12.6563	0.9	0
0.161	0	7.59375	12.6563	0.9	0
0.162	0	7.59375	12.6563	0.9	0
0.163	0	7.59375	12.6563	0.9	0
0.164	0	7.59375	12.6563	0.9	0
0.165	0	7.59375	12.6563	0.9	0
0.166	0	7.59375	12.6563	0.9	0
0.167	0	7.59375	12.6563	0.9	0
0.168	0	7.59375	12.6563	0.9	0
0.169	0	7.59375	12.6563	0.9	0
0.17	0	7.59375	12.6563	0.9	0
0.171	0	7.59375	12.6563	0.9	0
0.172	0	7.59375	12.6563	0.9	0
0.173	0	7.59375	12.6563	0.9	0
0.174	0	7.59375	12.6563	0.9	0
0.175	0	7.59375	12.6563	0.9	0
0.176	0	7.59375	12.6563	0.9	0
0.177	0	7.59375	12.6563	0.9	0
0.178	0	7.59375	12.6563	0.9	0
0.179	0	7.59375	12.6563	0.9	0
0.18	0	7.59375	12.6563	0.9	0
0.181	0	7.59375	12.6563	0.9	0
0.182	0	7.59375	12.6563	0.9	0
0.183	0	7.59375	12.6563	0.9	0
0.184	0	7.59375	12.6563	0.9	0
0.185	0	7.59375	12.6563	0.9	0
0.186	0	7.59375	12.6563	0.9	0
0.187	0	7.59375	12.6563	0.9	0
0.188	0	7.59375	12.6563	0.9	0
0.189	0	7.59375	12.6563	0.9	0
0.19	0	7.59375	12.6563	0.9	0
0.191	0	7.59375	12.6563	0.9	0
0.192	0	7.59375	12.6563	0.9	0
0.193	0	7.59375	12.6563	0.9	0
0.194	0	7.59375	12.6563	0.9	0
0.195	0	7.59375	12.6563	0.9	0
0.196	0	7.59375	12.6563	0.9	0
0.197	0	7.59375	12.6563	0.9	0
0.198	0	7.59375	12.6563	0.9	0
0.199	0	7.59375	12.6563	0.9	0
0.2	0	7.59375	12.6563	0.9	0
0.201	0	7.59375	12.6563	0.9	0
0.202	0	7.59375	12.6563	0.9	0
0.203	0	7.59375	12.6563	0.9	0
0.204	0	7.59375	12.6563	0.9	0
0.205	0	7.59375	12.6563	0.9	0
0.206	0	7.59375	12.6563	0.9	0
0.207	0	7.59375	12.6563	0.9	0
0.208	0	7.59375	12.6563	0.9	0
0.209	0	7.59375	12.6563	0.9	0
0.21	0	7.59375	12.6563	0.9	0
0.211	0	7.59375	12.6563	0.9	0
0.212	0	7.59375	12.6563	0.9	0
0.213	0	7.59375	12.6563	0.9	0
0.214	0	7.59375	12.6563	0.9	0
0.215	0	7.59375	12.6563	0.9	0
0.216	0	7.59375	12.6563	0.9	0
0.217	0	7.59375	12.6563	0.9	0
0.218	0	7.59375	12.6563	0.9	0
0.219	0	7.59375	12.6563	0.9	0
0.22	0	7.59375	12.6563	0.9	0
0.221	0	7.59375	12.6563	0.9	0
0.222	0	7.59375	12.6563	0.9	0
0.223	0	7.59375	12.6563	0.9	0
0.224	0	7.59375	12.6563	0.9	0
0.225	0	7.59375	12.6563	0.9	0
0.226	0	7.59375	12.6563	0.9	0
0.227	0	7.59375	12.6563	0.9	0
0.228	0	7.59375	12.6563	0.9	0
0.229	0	7.59375	12.6563	0.9	0
0.23	0	7.59375	12.6563	0.9	0
0.231	0	7.59375	12.6563	0.9	0
0.232	0	7.59375	12.6563	0.9	0
0.233	0	7.59375	12.6563	0.9	0
0.234	0	7.59375	12.6563	0.9	0
0.235	0	7.59375	12.6563	0.9	0
0.236	0	7.59375	12.6563	0.9	0
0.237	0	7.59375	12.6563	0.9	0
0.238	0	7.59375	12.6563	0.9	0
0.239	0	7.59375	12.6563	0.9	0
0.24	0	7.59375	12.6563	0.9	0
0.241	0	7.59375	12.6563	0.9	0
0.242	0	7.59375	12.6563	0.9	0
0.243	0	7.59375	12.6563	0.9	0
0.244	0	7.59375	12.6563	0.9	0
0.245	0	7.59375	12.6563	0.9	0
0.246	0	7.59375	12.6563	0.9	0
0.247	0	7.59375	12.6563	0.9	0
0.248	0	7.59375	12.6563	0.9	0
0.249	0	7.59375	12.6563	0.9	0
0.25	0	7.59375	12.6563	0.9	0
0.251	0	7.59375	12.6563	0.9	0
0.252	0	7.59375	12.6563	0.9	0
0.253	0	7.59375	12.6563	0.9	0
0.254	0	7.59375	12.6563	0.9	0
0.255	0	7.59375	12.6563	0.9	0
0.256	0	7.59375	12.6563	0.9	0
0.257	0	7.59375	12.6563	0.9	0
0.258	0	7.59375	12.6563	0.9	0
0.259	0	7.59375	12.6563	0.9	0
0.26	0	7.59375	12.6563	0.9	0
0.261	0	7.59375	12.6563	0.9	0
0.262	0	7.59375	12.6563	0.9	0
0.263	0	7.59375	12.6563	0.9	0
0.264	0	7.59375	12.6563	0.9	0
0.265	0	7.59375	12.6563	0.9	0
0.266	0	7.59375	12.6563	0.9	0
0.267	0	7.59375	12.6563	0.9	0
0.268	0	7.59375	12.6563	0.9	0
0.269	0	7.59375	12.6563	0.9	0
0.27	0	7.59375	12.6563	0.9	0
0.271	0	7.59375	12.6563	0.9	0
0.272	0	7.59375	12.6563	0.9	0
0.273	0	7.59375	12.6563	0.9	0
0.274	0	7.59375	12.6563	0.9	0
0.275	0	7.59375	12.6563	0.9	0
0.276	0	7.59375	12.6563	0.9	0
0.277	0	7.59375	12.6563	0.9	0
0.278	0	7.59375	12.6563	0.9	0
0.279	0	7.59375	12.6563	0.9	0
0.28	0	7.59375	12.6563	0.9	0
0.281	0	7.59375	12.6563	0.9	0
0.282	0	7.59375	12.6563	0.9	0
0.283	0	7.59375	12.6563	0.9	0
0.284	0	7.59375	12.6563	0.9	0
0.285	0	7.59375	12.6563	0.9	0
0.286	0	7.59375	12.6563	0.9	0
0.287	0	7.59375	12.6563	0.9	0
0.288	0	7.59375	12.6563	0.9	0
0.289	0	7.59375	12.6563	0.9	0
0.29	0	7.59375	12.6563	0.9	0
0.291	0	7.59375	12.6563	0.9	0
0.292	0	7.59375	12.6563	0.9	0
0.293	0	7.59375	12.6563	0.9	0
0.294	0	7.59375	12.6563	0.9	0
0.295	0	7.59375	12.6563	0.9	0
0.296	0	7.59375	12.6563	0.9	0
0.297	0	7.59375	12.6563	0.9	0
0.298	0	7.59375	12.6563	0.9	0
0.299	0	7.59375	12.6563	0.9	0
0.3	0	7.59375	12.6563	0.9	0
0.301	0	7.59375	12.6563	0.9	0
0.302	0	7.59375	12.6563	0.9	0
0.303	0	7.59375	12.6563	0.9	0
0.304	0	7.59375	12.6563	0.9	0
0.305	0	7.59375	12.6563	0.9	0
0.306	0	7.59375	12.6563	0.9	0
0.307	0	7.59375	12.6563	0.9	0
0.308	0	7.59375	12.6563	0.9	0
0.309	0	7.59375	12.6563	0.9	0
0.31	0	7.59375	12.6563	0.9	0
0.311	0	7.59375	12.6563	0.9	0
0.312	0	7.59375	12.6563	0.9	0
0.313	0	7.59375	12.6563	0.9	0
0.314	0	7.59375	12.6563	0.9	0
0.315	0	7.59375	12.6563	0.9	0
0.316	0	7.59375	12.6563	0.9	0
