time	tau
0	0.0006
0.0006	5.52446e-05
0.000655245	6.62935e-05
0.000721538	7.95522e-05
0.00080109	9.54627e-05
0.000896553	0.000109052
0.00100561	0.000102944
0.00110855	0.000107054
0.0012156	0.000116158
0.00133176	0.000130205
0.00146197	0.000134895
0.00159686	0.000134394
0.00173126	0.000140156
0.00187141	0.00015151
0.00202292	0.000149202
0.00217212	0.000149437
0.00232156	0.000155954
0.00247751	0.000159939
0.00263745	0.00015603
0.00279348	0.00015972
0.0029532	0.000166441
0.00311964	0.000160163
0.00327981	0.000162387
0.00344219	0.000169851
0.00361204	0.000162563
0.00377461	0.000164261
0.00393887	0.000171259
0.00411013	0.000163899
0.00427403	0.000165687
0.00443971	0.000171504
0.00461122	0.000164649
0.00477587	0.000166948
0.00494282	0.000171154
0.00511397	0.000165124
0.00527909	0.000168294
0.00544739	0.000170582
0.00561797	0.00016545
0.00578342	0.000170109
0.00595353	0.000170097
0.00612363	0.00016535
0.00628898	0.000173663
0.00646264	0.000170324
0.00663296	0.000162953
0.00679592	0.000177909
0.00697383	0.000157901
0.00713173	0.000153837
0.00728556	0.00015622
0.00744178	0.000149486
0.00759127	0.000152181
0.00774345	0.000175038
0.00791849	0.000157534
0.00807602	0.000153791
0.00822981	0.000172093
0.00840191	0.00015485
0.00855676	0.00015381
0.00871057	0.000172144
0.00888271	0.000155462
0.00903817	0.000154677
0.00919285	0.000173437
0.00936629	0.000156419
0.00952271	0.000155551
0.00967826	0.00017328
0.00985154	0.000156951
0.0100085	0.000156407
0.0101649	0.000173409
0.0103383	0.000157586
0.0104959	0.000157255
0.0106531	0.000174138
0.0108273	0.000158385
0.0109857	0.000158087
0.0111438	0.000174896
0.0113186	0.000159187
0.0114778	0.000158893
0.0116367	0.000175698
0.0118124	0.000159998
0.0119724	0.000159666
0.0121321	0.000176553
0.0123086	0.000160812
0.0124695	0.000160405
0.0126299	0.000177448
0.0128073	0.000161623
0.0129689	0.00016111
0.01313	0.000178365
0.0133084	0.000162421
0.0134708	0.000161782
0.0136326	0.000179293
0.0138119	0.000163198
0.0139751	0.000162422
0.0141375	0.000180215
0.0143177	0.000163944
0.0144817	0.000163033
0.0146447	0.000180398
0.0148251	0.000164893
0.01499	0.000163781
0.0151538	0.000180354
0.0153341	0.000166073
0.0155002	0.000164624
0.0156648	0.000180329
0.0158452	0.000167143
0.0160123	0.000165427
0.0161777	0.000180302
0.016358	0.000168124
0.0165262	0.000166197
0.0166924	0.000180278
0.0168726	0.00016895
0.0170416	0.000166909
0.0172085	0.000180256
0.0173888	0.000170607
0.0175594	0.000167839
0.0177272	0.000180207
0.0179074	0.000171777
0.0180792	0.000168578
0.0182478	0.000180105
0.0184279	0.000173213
0.0186011	0.000169352
0.0187704	0.000179953
0.0189504	0.000174265
0.0191246	0.000169962
0.0192946	0.000179756
0.0194744	0.0001754
0.0196498	0.000170541
0.0198203	0.000179513
0.0199998	0.000176256
0.0201761	0.000170984
0.0203471	0.000179234
0.0205263	0.000177177
0.0207035	0.000171389
0.0208749	0.00017892
0.0210538	0.000177865
0.0212316	0.00017168
0.0214033	0.000178587
0.0215819	0.000178597
0.0217605	0.000171932
0.0219324	0.000178234
0.0221107	0.000179125
0.0222898	0.000172088
0.0224619	0.000177878
0.0226398	0.000179681
0.0228194	0.000172209
0.0229917	0.000177514
0.0231692	0.000180058
0.0233492	0.000172251
0.0235215	0.000177162
0.0236986	0.000180453
0.0238791	0.000172262
0.0240514	0.000176813
0.0242282	0.00018087
0.024409	0.000172236
0.0245813	0.000176462
0.0247577	0.000183936
0.0249417	0.000172503
0.0251142	0.000175742
0.0252899	0.000185485
0.0254754	0.000172336
0.0256477	0.000175081
0.0258228	0.000188411
0.0260112	0.00017225
0.0261835	0.000174147
0.0263576	0.000188474
0.0265461	0.000173041
0.0267191	0.000173909
0.0268931	0.000187148
0.0270802	0.000174388
0.0272546	0.000174057
0.0274286	0.000185973
0.0276146	0.000175168
0.0277898	0.000174038
0.0279638	0.000184903
0.0281487	0.000176226
0.028325	0.000174086
0.028499	0.000183895
0.0286829	0.000176863
